#
 0,    exploit/False, 25, 0.025, 0.027, -*-------           |                   , 0.000, 0.222
 0,    exploit/False, 35, 0.025, 0.006, -*-                 |                   , 0.000, 0.201
 0,    exploit/False, 40, 0.025, 0.009, -*-------           |                   , 0.000, 0.193
 0,    exploit/False, 30, 0.032, 0.162,  *       --------   |                   , 0.022, 0.364
#
 1,    exploit/False, 20, 0.032, 0.166,  *       -          |                   , 0.009, 0.247
#
 2,            random,35, 0.080, 0.165, -   *     --        |                   , 0.009, 0.274
#
 3,            random,25, 0.090, 0.131,  -- *     ---       |                   , 0.022, 0.261
 3,            random,30, 0.100, 0.136,   -  *    ---       |                   , 0.022, 0.270
 3,            random,40, 0.188, 0.153,  -       *-         |                   , 0.021, 0.220
#
 4,    exploit/False, 15, 0.190, 0.140,  --      *-------   |                   , 0.000, 0.370
 4,    exploit/False, 10, 0.203, 0.166,    -      * ------- |                   , 0.021, 0.403
 4,            random,20, 0.213, 0.053,    -----  *---      |                   , 0.039, 0.394
#
 5,            random,15, 0.221, 0.073,    ------  * -----  |                   , 0.021, 0.383
 5,            random,10, 0.247, 0.077,   -------   *-----  |                   , 0.022, 0.395
#
 6,        baseline,6840, 0.404, 0.336,   --------          *       ----        , 0.000, 0.788
